CFSAUID,Incident_Type,Emergency Transfers,Medical Emergencies,Vehicle Accidents,Fires,Airport Standbys,EMS_Demand_Driver
K0K,Emergency Transfer,1,0,0,0,0,Emergency Transfers
K0M,"Emergency Transfer,Emergency Transfer",2,0,0,0,0,Emergency Transfers
K7L,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer",4,0,0,0,0,Emergency Transfers
K8N,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer",7,0,0,0,0,Emergency Transfers
K9A,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer",28,0,0,0,0,Emergency Transfers
K9J,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer",95,0,0,0,0,Emergency Transfers
K9V,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer",36,0,0,0,0,Emergency Transfers
L1C,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer",34,0,0,0,0,Emergency Transfers
L1G,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Medical,Emergency Transfer,Emergency Transfer,Emergency Transfer,-,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,-,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer",86,1,0,0,0,Emergency Transfers
L1N,"Medical,Medical",0,2,0,0,0,Medical Emergencies
